,DATE
1229,2018-11-10
1230,2018-11-11
1231,2018-11-12
1232,2018-11-13
1233,2018-11-14
1234,2018-11-15
1235,2018-11-16
1236,2018-11-17
1237,2018-11-18
1238,2018-11-19
1239,2018-11-20
1240,2018-11-21
1241,2018-11-22
1242,2018-11-23
1243,2018-11-24
1244,2018-11-25
1245,2018-11-26
1246,2018-11-27
1247,2018-11-28
1248,2018-11-29
1249,2018-11-30
1250,2018-12-01
1251,2018-12-02
1252,2018-12-03
1253,2018-12-04
1254,2018-12-05
1255,2018-12-06
1256,2018-12-07
1257,2018-12-08
1258,2018-12-09
1259,2018-12-10
1260,2018-12-11
1261,2018-12-12
1262,2018-12-13
1263,2018-12-14
1264,2018-12-15
1265,2018-12-16
1266,2018-12-17
1267,2018-12-18
1268,2018-12-19
1269,2018-12-20
1270,2018-12-21
1271,2018-12-22
1272,2018-12-23
1273,2018-12-24
1274,2018-12-25
1275,2018-12-26
1276,2018-12-27
1277,2018-12-28
1278,2018-12-29
1279,2018-12-30
1280,2018-12-31
1281,2019-01-01
1282,2019-01-02
1283,2019-01-03
1284,2019-01-04
1285,2019-01-05
1286,2019-01-06
1287,2019-01-07
1288,2019-01-08
1289,2019-01-09
1290,2019-01-10
1291,2019-01-11
1292,2019-01-12
1293,2019-01-13
1294,2019-01-14
1295,2019-01-15
1296,2019-01-16
1297,2019-01-17
1298,2019-01-18
1299,2019-01-19
1300,2019-01-20
1301,2019-01-21
1302,2019-01-22
1303,2019-01-23
1304,2019-01-24
1305,2019-01-25
1306,2019-01-26
1307,2019-01-27
1308,2019-01-28
1309,2019-01-29
1310,2019-01-30
1311,2019-01-31
1312,2019-02-01
1313,2019-02-02
1314,2019-02-03
1315,2019-02-04
1316,2019-02-05
1317,2019-02-06
1318,2019-02-07
1319,2019-02-08
1320,2019-02-09
1321,2019-02-10
1322,2019-02-11
1323,2019-02-12
1324,2019-02-13
1325,2019-02-14
1326,2019-02-15
1327,2019-02-16
1328,2019-02-17
1329,2019-02-18
1330,2019-02-19
1331,2019-02-20
1332,2019-02-21
1333,2019-02-22
1334,2019-02-23
1335,2019-02-24
1336,2019-02-25
1337,2019-02-26
1338,2019-02-27
1339,2019-02-28
1340,2019-03-01
1341,2019-03-02
1342,2019-03-03
1343,2019-03-04
1344,2019-03-05
1345,2019-03-06
1346,2019-03-07
1347,2019-03-08
1348,2019-03-09
1349,2019-03-10
1350,2019-03-11
1351,2019-03-12
1352,2019-03-13
1353,2019-03-14
1354,2019-03-15
1355,2019-03-16
1356,2019-03-17
1357,2019-03-18
1358,2019-03-19
1359,2019-03-20
1360,2019-03-21
1361,2019-03-22
1362,2019-03-23
1363,2019-03-24
1364,2019-03-25
1365,2019-03-26
1366,2019-03-27
1367,2019-03-28
1368,2019-03-29
1369,2019-03-30
1370,2019-03-31
1371,2019-04-01
1372,2019-04-02
1373,2019-04-03
1374,2019-04-04
1375,2019-04-05
1376,2019-04-06
1377,2019-04-07
1378,2019-04-08
1379,2019-04-09
1380,2019-04-10
1381,2019-04-11
1382,2019-04-12
1383,2019-04-13
1384,2019-04-14
1385,2019-04-15
1386,2019-04-16
1387,2019-04-17
1388,2019-04-18
1389,2019-04-19
1390,2019-04-20
1391,2019-04-21
1392,2019-04-22
1393,2019-04-23
1394,2019-04-24
1395,2019-04-25
1396,2019-04-26
1397,2019-04-27
1398,2019-04-28
1399,2019-04-29
1400,2019-04-30
1401,2019-05-01
1402,2019-05-02
1403,2019-05-03
1404,2019-05-04
1405,2019-05-05
1406,2019-05-06
1407,2019-05-07
1408,2019-05-08
1409,2019-05-09
1410,2019-05-10
1411,2019-05-11
1412,2019-05-12
1413,2019-05-13
1414,2019-05-14
1415,2019-05-15
1416,2019-05-16
1417,2019-05-17
1418,2019-05-18
1419,2019-05-19
1420,2019-05-20
1421,2019-05-21
1422,2019-05-22
1423,2019-05-23
1424,2019-05-24
1425,2019-05-25
1426,2019-05-26
1427,2019-05-27
1428,2019-05-28
1429,2019-05-29
1430,2019-05-30
1431,2019-05-31
1432,2019-06-01
1433,2019-06-02
1434,2019-06-03
1435,2019-06-04
1436,2019-06-05
1437,2019-06-06
1438,2019-06-07
1439,2019-06-08
1440,2019-06-09
1441,2019-06-10
1442,2019-06-11
1443,2019-06-12
1444,2019-06-13
1445,2019-06-14
1446,2019-06-15
1447,2019-06-16
1448,2019-06-17
1449,2019-06-18
1450,2019-06-19
1451,2019-06-20
1452,2019-06-21
1453,2019-06-22
1454,2019-06-23
1455,2019-06-24
1456,2019-06-25
1457,2019-06-26
1458,2019-06-27
1459,2019-06-28
1460,2019-06-29
1461,2019-06-30
1462,2019-07-01
1463,2019-07-02
1464,2019-07-03
1465,2019-07-04
1466,2019-07-05
1467,2019-07-06
1468,2019-07-07
1469,2019-07-08
1470,2019-07-09
1471,2019-07-10
1472,2019-07-11
1473,2019-07-12
1474,2019-07-13
1475,2019-07-14
1476,2019-07-15
1477,2019-07-16
1478,2019-07-17
1479,2019-07-18
1480,2019-07-19
1481,2019-07-20
1482,2019-07-21
1483,2019-07-22
1484,2019-07-23
1485,2019-07-24
1486,2019-07-25
1487,2019-07-26
1488,2019-07-27
1489,2019-07-28
1490,2019-07-29
1491,2019-07-30
1492,2019-07-31
1493,2019-08-01
1494,2019-08-02
1495,2019-08-03
1496,2019-08-04
